original_data_set,field_name,field_name_final_dataset,description,additional_notes
loans_full,id,id,Unique identifier for a Kiva loan,Int
loans_full,name ,name ,The name of the borrower or group receiving the loan,String
loans_full,gender ,gender ,The gender of the primary borrower OR majority gender if group,possible values are male or female
loans_full,description ,description ,The description of the loan profile in English.,String
loans_full,status,status,All possible loan statuses,The public dataset does not reveal defaulted loans
loans_full,fundedAmount  ,fundedAmount  ,​The amount of the loan that has been purchased by lenders,​The dollar amount in US
loans_full,basketAmount,basketAmount,"The amount of the unfunded loan that is sitting in lenders' baskets, waiting to be purchased",​The dollar amount in US
loans_full,image ,image ,The picture for this loan profile,Image
loans_full,activity,activity,The activity is a structured categorization of the loan use,"A property of loan which is more descriptive than Sector. Every activity is within a sector. e.g. the 'Animal Sales' activity is within the 'Agriculture' sector. Note, some Activities have the same name as their parent Sector"
loans_full,sector,sector,The sector is a more general classification of the loan than activity,"A sector is a broad category for a loan, e.g. Agriculture, Arts, Clothing. Sectors are subdivided further by activities.
"
loans_full,use  ,use  ,Text describing what the loan is to be used for; a logical subset of description e.g.  To buy a cow ,String
loans_full,location,location,"The physical location of the borrower and/or busines town: town, country, geocode","Kiva Geocode = city, state, postalCode, llatitude, longitude"
loans_full,partner_id,partner_id,Kiva Id for partner,int
loans_full,posted_date,posted_date,When the loan started fundraising on Kiva.,"Returns a UTC datetime in ISO8601 format. As an input field, it can accept an integer unix timestamp or any date string parsable by php strtotime()"
loans_full,planned_expiration_date ,planned_expiration_date ,"When the loan will expire if it is not fully funded
","Returns a UTC datetime in ISO8601 format. As an input field, it can accept an integer unix timestamp or any date string parsable by php strtotime()"
loans_full,loan_amount,loan_amount,"The amount of this loan, as shown to lenders",The dollar amount in USD
loans_full,borrower_count,borrower_count,The number of borrowers participating in the loan,Int
loans_full,lender_count,lender_count,The number of borrowers participating in the loan,Int
loans_full,bonus_credit_eligibility,bonus_credit_eligibility,The loan is eligible for matching funds if a share is purchased,Boolean
loans_full,tags,tags,A list of tags on this loan,String
loans_detail,id,id,Unique identifier for a Kiva loan,Int
loans_detail,name ,name ,The name of the borrower or group receiving the loan,String
loans_detail,gender ,gender ,The gender of the primary borrower OR majority gender if group,possible values are male or female
loans_detail,description ,description ,"The description of the loan profile in English, returns a dictionary {""languages"": [""an array of languaes used in the description""], ""texts""= {""naguage of text"": ""actual description of the loan use""}}",includes fields: languages: 
loans_detail,status,status,All possible loan statuses,The public dataset does not reveal defaulted loans
loans_detail,fundedAmount  ,fundedAmount  ,​The amount of the loan that has been purchased by lenders,​The dollar amount in US
loans_detail,basketAmount,basketAmount,"The amount of the unfunded loan that is sitting in lenders' baskets, waiting to be purchased",​The dollar amount in US
loans_detail,image ,image ,"The picture for this loan profile, returns a dictionary",Image
loans_detail,activity,activity,The activity is a structured categorization of the loan use,"A property of loan which is more descriptive than Sector. Every activity is within a sector. e.g. the 'Animal Sales' activity is within the 'Agriculture' sector. Note, some Activities have the same name as their parent Sector"
loans_detail,sector,sector,The sector is a more general classification of the loan than activity,"A sector is a broad category for a loan, e.g. Agriculture, Arts, Clothing. Sectors are subdivided further by activities.
"
loans_detail,use  ,use  ,Text describing what the loan is to be used for; a logical subset of description e.g.  To buy a cow ,String
loans_detail,location,location,"The physical location of the borrower and/or business, returns a dictionary {""country_code"": two-character ISO country code, ""country"": name of country in English, ""town"": name of town, geocode= {""level"": Kiva geocoding category, ""pairs"": latitude and longitude data as a string, ""type"": type of geocode }}","Kiva Geocode = city, state, postalCode, llatitude, longitude"
loans_detail,partner_id,partner_id,Kiva Id for partner,int
loans_detail,posted_date,posted_date,When the loan started fundraising on Kiva.,"Returns a UTC datetime in ISO8601 format. As an input field, it can accept an integer unix timestamp or any date string parsable by php strtotime()"
loans_detail,loan_amount,loan_amount,"The amount of this loan, as shown to lenders",The dollar amount in USD
loans_detail,lender_count,lender_count,The number of borrowers participating in the loan,Int
